,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Girls,0.657,0.913,11,-4.984,1,0.0528,0.00392,0.00149,0.466,0.906,108.036,audio_features,3nWAEl9pelDAUSXXAZR4Gz,spotify:track:3nWAEl9pelDAUSXXAZR4Gz,https://api.spotify.com/v1/tracks/3nWAEl9pelDAUSXXAZR4Gz,https://api.spotify.com/v1/audio-analysis/3nWAEl9pelDAUSXXAZR4Gz,254613,4
12,0.0803,0.264,6,-19.354,1,0.0406,0.919,0.885,0.0785,0.0787,177.472,audio_features,6aptHonUwrx1j3uk2CuMrb,spotify:track:6aptHonUwrx1j3uk2CuMrb,https://api.spotify.com/v1/tracks/6aptHonUwrx1j3uk2CuMrb,https://api.spotify.com/v1/audio-analysis/6aptHonUwrx1j3uk2CuMrb,79573,4
She Way Out,0.62,0.851,4,-4.747,0,0.0352,0.00421,0.0,0.104,0.235,116.984,audio_features,4Jh5S8GQaRiSl1XRxXxZqo,spotify:track:4Jh5S8GQaRiSl1XRxXxZqo,https://api.spotify.com/v1/tracks/4Jh5S8GQaRiSl1XRxXxZqo,https://api.spotify.com/v1/audio-analysis/4Jh5S8GQaRiSl1XRxXxZqo,239240,4
Menswear,0.708,0.539,1,-10.28,1,0.0646,0.547,0.0174,0.0849,0.163,96.987,audio_features,15WRyqYIbOBGLo1n1m5Lb9,spotify:track:15WRyqYIbOBGLo1n1m5Lb9,https://api.spotify.com/v1/tracks/15WRyqYIbOBGLo1n1m5Lb9,https://api.spotify.com/v1/audio-analysis/15WRyqYIbOBGLo1n1m5Lb9,206733,4
Pressure,0.485,0.848,0,-7.065,1,0.0678,0.0473,0.000113,0.0718,0.463,99.064,audio_features,396qJn8HpmJvDKJBlCO7Pt,spotify:track:396qJn8HpmJvDKJBlCO7Pt,https://api.spotify.com/v1/tracks/396qJn8HpmJvDKJBlCO7Pt,https://api.spotify.com/v1/audio-analysis/396qJn8HpmJvDKJBlCO7Pt,221387,4
Is There Somebody Who Can Watch You,0.347,0.0311,11,-19.26,1,0.0513,0.923,0.00112,0.0661,0.124,140.127,audio_features,07q3L3MutSKUBsuRPP309k,spotify:track:07q3L3MutSKUBsuRPP309k,https://api.spotify.com/v1/tracks/07q3L3MutSKUBsuRPP309k,https://api.spotify.com/v1/audio-analysis/07q3L3MutSKUBsuRPP309k,174213,4
Facedown,0.138,0.407,4,-12.73,1,0.0385,0.119,0.287,0.0666,0.0337,142.258,audio_features,0UYaOCZErYEVqXHnDZb6dw,spotify:track:0UYaOCZErYEVqXHnDZb6dw,https://api.spotify.com/v1/tracks/0UYaOCZErYEVqXHnDZb6dw,https://api.spotify.com/v1/audio-analysis/0UYaOCZErYEVqXHnDZb6dw,169000,5
The City - EP Version,0.243,0.79,9,-5.543,0,0.0447,1.54e-05,0.000288,0.131,0.41,94.841,audio_features,1CQaclSrg6mw1lFUDMDZ5j,spotify:track:1CQaclSrg6mw1lFUDMDZ5j,https://api.spotify.com/v1/tracks/1CQaclSrg6mw1lFUDMDZ5j,https://api.spotify.com/v1/audio-analysis/1CQaclSrg6mw1lFUDMDZ5j,221907,4
Antichrist,0.344,0.473,5,-9.152,1,0.0367,9.18e-05,0.81,0.131,0.0994,119.839,audio_features,7GdpskVbiyJ17zQxPG1Bh6,spotify:track:7GdpskVbiyJ17zQxPG1Bh6,https://api.spotify.com/v1/tracks/7GdpskVbiyJ17zQxPG1Bh6,https://api.spotify.com/v1/audio-analysis/7GdpskVbiyJ17zQxPG1Bh6,283960,4
Woman,0.307,0.181,9,-12.983,1,0.0363,0.972,0.275,0.112,0.0721,66.493,audio_features,4jYIow1wIAC7lwMPnaL28j,spotify:track:4jYIow1wIAC7lwMPnaL28j,https://api.spotify.com/v1/tracks/4jYIow1wIAC7lwMPnaL28j,https://api.spotify.com/v1/audio-analysis/4jYIow1wIAC7lwMPnaL28j,182160,5
